"","meses_no_local_alocado","churn","idade","anos_formacao","atuacao_previa_no_municipio","anos_atuacao_previa_no_municipio","media_vinculos_mes","Prorrogado","m_agente_saude","m_tec_aux_enf","m_enfermeiro","m_dentista","regiao_destino","populacao","porte","pib_percapita","variacao_pib","tx_pop_ocupada_2019","orcamento_saude","esgotamento_sanitario","taxa_homicidio","ideb_anosfinais","investimento_infraestrutura","equipamentos_esportivos","equipamentos_culturais","distancia_capital"
"1043",52,"migrou",47,16.0848733744011,"Não",0,1,"NÃO",6.03125,7.5671875,5.7421875,2,"Sul",9706,"PP-I",51167.93,148,20.7809602307851,1255.3,0,29.248,NA,1217.381,14.669,29.338,455
"1044",36,"migrou",39,8.08487337440109,"Não",0,1,"NÃO",11.1111111111111,3.73611111111111,3.625,NA,"Sudeste",483087,"GP",15779.73,67,7.48353816186318,343.7,43.23,12.918,3.7,2086.949,0,0.983,35
"1045",9,"migrou",49,17.4182067077344,"Não",0,1,"NÃO",3.33333333333333,1.44444444444444,1.22222222222222,NA,"Sudeste",483087,"GP",15779.73,67,7.48353816186318,343.7,43.23,12.918,3.7,2086.949,0,0.983,35
"1046",34,"migrou",45,2.08350444900753,"Não",0,1,"NÃO",7.14705882352941,1.22058823529412,1.02941176470588,1.17647058823529,"Sudeste",483087,"GP",15779.73,67,7.48353816186318,343.7,43.23,12.918,3.7,2086.949,0,0.983,35
"1047",67,"migrou",35,6.5845311430527,"Não",0,1,"SIM",6.19402985074627,1.5910447761194,1.21940298507463,1.07462686567164,"Sudeste",26881,"PP-II",20997.64,127,16.7850898404077,1015.97,95.25,18.4,6.1,959.927,3.677,18.386,273
"1048",73,"migrou",37,7.08555783709788,"Sim",4.5,2.30882352941176,"SIM",4.85074626865672,1.73432835820896,1.13582089552239,1,"Sudeste",26881,"PP-II",20997.64,127,16.7850898404077,1015.97,95.25,18.4,6.1,959.927,3.677,18.386,273
"1049",20,"migrou",41,4.16700889801506,"Não",0,1,"NÃO",22,3,3,2.5375,"Sudeste",785867,"GP",21218.9,66,13.3346991284785,605.91,54.26,9.377,3.8,1988.845,0,1.221,38
"1050",68,"migrou",55,9.08418891170431,"Sim",0.0833333333333333,1.04411764705882,"SIM",21.7058823529412,5.01470588235294,4.79411764705882,3.63970588235294,"Sudeste",785867,"GP",21218.9,66,13.3346991284785,605.91,54.26,9.377,3.8,1988.845,0,1.221,38
"1051",67,"permanece",38,5.50308008213552,"Não",0,1,"SIM",8.11940298507463,3.38805970149254,2.54477611940298,NA,"Sudeste",785867,"GP",21218.9,66,13.3346991284785,605.91,54.26,9.377,3.8,1988.845,0,1.221,38
"1052",23,"migrou",64,32.0848733744011,"Não",0,1,"NÃO",25.8260869565217,8.47826086956522,7.73913043478261,1.92391304347826,"Sudeste",785867,"GP",21218.9,66,13.3346991284785,605.91,54.26,9.377,3.8,1988.845,0,1.221,38
"1053",36,"migrou",34,1.50308008213552,"Sim",1,1,"NÃO",19.2903225806452,4,4,3.5,"Sudeste",785867,"GP",21218.9,66,13.3346991284785,605.91,54.26,9.377,3.8,1988.845,0,1.221,38
"1054",73,"permanece",33,4.58590006844627,"Sim",1.66666666666667,1.45588235294118,"SIM",23.4705882352941,6.07352941176471,4.44117647058824,NA,"Sudeste",785867,"GP",21218.9,66,13.3346991284785,605.91,54.26,9.377,3.8,1988.845,0,1.221,38
"1055",36,"migrou",33,0.58590006844627,"Não",0,1,"NÃO",27.6388888888889,5.25,4.92361111111111,3.20138888888889,"Sudeste",785867,"GP",21218.9,66,13.3346991284785,605.91,54.26,9.377,3.8,1988.845,0,1.221,38
"1056",68,"permanece",66,34.5845311430527,"Não",0,1,"SIM",24.6029411764706,8.61764705882353,7.35661764705882,2.98529411764706,"Sudeste",785867,"GP",21218.9,66,13.3346991284785,605.91,54.26,9.377,3.8,1988.845,0,1.221,38
"1057",68,"migrou",66,35.0855578370979,"Não",0,1,"SIM",9.85294117647059,3.48529411764706,3.46691176470588,2,"Sudeste",785867,"GP",21218.9,66,13.3346991284785,605.91,54.26,9.377,3.8,1988.845,0,1.221,38
"1058",73,"migrou",46,7.08555783709788,"Sim",6.66666666666667,1,"SIM",7.83823529411765,3.86764705882353,3.47058823529412,NA,"Sudeste",785867,"GP",21218.9,66,13.3346991284785,605.91,54.26,9.377,3.8,1988.845,0,1.221,38
"1059",18,"migrou",32,0.167008898015058,"Não",0,1.23076923076923,"NÃO",8.64285714285714,3,2.82142857142857,NA,"Sudeste",785867,"GP",21218.9,66,13.3346991284785,605.91,54.26,9.377,3.8,1988.845,0,1.221,38
"1060",36,"migrou",69,39.0855578370979,"Não",0,1,"NÃO",11.8888888888889,3.80555555555556,1.97222222222222,1.30555555555556,"Sudeste",38961,"PP-II",19423.34,86,14.2065142065142,821.11,87.45,7.758,4.1,3806.487,5.178,15.534,327
"1061",67,"permanece",72,42.0835044490075,"Sim",9.75,1,"SIM",7.04477611940298,1.89925373134328,1.71641791044776,NA,"Sudeste",896744,"GP",16931.63,64,13.4056096277198,378.25,33.49,26.64,3.7,1518.378,0,0.371,30
"1062",67,"permanece",39,4.16700889801506,"Não",0,1,"SIM",57.0485074626866,45.8123134328358,18.9574626865672,1.70149253731343,"Sudeste",440962,"GP",20631.66,89,13.9324930492877,521.19,60.38,28.154,3.6,1442.336,0,0.636,30
"1063",73,"migrou",41,6.5845311430527,"Sim",1.08333333333333,1,"SIM",52.8507462686567,14.3328358208955,9.44029850746269,NA,"Sudeste",440962,"GP",20631.66,89,13.9324930492877,521.19,60.38,28.154,3.6,1442.336,0,0.636,30
"1064",67,"migrou",55,24.5037645448323,"Não",0,1,"SIM",41.9701492537313,5.06716417910448,5.4544776119403,1.52238805970149,"Sudeste",440962,"GP",20631.66,89,13.9324930492877,521.19,60.38,28.154,3.6,1442.336,0,0.636,30
"1065",66,"migrou",42,2.08350444900753,"Sim",0.25,1,"SIM",61.8674242424242,7.9344696969697,5.3,NA,"Sudeste",440962,"GP",20631.66,89,13.9324930492877,521.19,60.38,28.154,3.6,1442.336,0,0.636,30
"1066",68,"permanece",40,4.16700889801506,"Não",0,1,"SIM",6.64705882352941,1.51470588235294,1.02941176470588,NA,"Sudeste",7750,"PP-I",21712.23,43,15.9870967741935,1290.33,0,21.374,NA,5515.565,53.614,32.168,219
"1067",68,"migrou",39,0,"Sim",4.08333333333333,1,"NÃO",7.68965517241379,4.12931034482759,2.55172413793103,NA,"Nordeste",56496,"MP",22039.7,165,12.2628150665534,637.36,0,32.749,3.3,2100.077,0,5.204,213
